# OMNI 1-min, GSM, time-shifted to bow shock nose
# yr mo dy hr mn sc msec  Bx[nT] By[nT] Bz[nT]  Vx[km/s] Vy[km/s] Vz[km/s]  N[/cc] T[K]
#START
2015  3 16  2 21 00 000    3.680    1.960    4.070   -329.70     18.60      8.90  49.810     42564.0
2015  3 16  2 22 00 000    0.500    0.170    0.920   -330.40     17.80      9.30  49.220     41608.0
2015  3 16  2 23 00 000   -3.350    1.080   -6.890   -331.30     16.90     13.90  41.060     35584.0
2015  3 16  2 24 00 000   -3.200    3.700   -8.560   -330.40     18.00     15.80  37.610     34105.0
2015  3 16  2 25 00 000   -3.330    3.190   -8.140   -329.50     18.40     14.80  33.570     31145.0
2015  3 16  2 26 00 000   -3.470    2.410   -7.890   -329.60     18.40     14.60  33.070     31049.0
2015  3 16  2 27 00 000   -3.120    3.690   -8.450   -330.80     16.30     11.40  27.770     28303.0
2015  3 16  2 28 00 000   -2.230    5.070   -8.920   -331.00     15.90     10.90  27.020     27836.0
2015  3 16  2 35 00 000   -2.420    4.420   -9.180   -331.00     18.10      7.80  26.970     32564.0
2015  3 16  2 36 00 000   -2.010    4.520   -9.190   -331.00     18.10      7.80  26.970     32564.0
2015  3 16  2 37 00 000   -2.400    4.340   -8.760   -331.00     18.10      7.80  26.970     32564.0
2015  3 16  2 38 00 000   -3.010    3.690   -8.560   -329.70     18.30      9.40  24.670     28332.0
2015  3 16  2 39 00 000   -3.030    4.010   -8.620   -331.20     16.90      9.10  25.640     33857.0
2015  3 16  2 40 00 000   -3.100    3.700   -8.600   -331.90     16.10      8.90  26.100     36546.0
2015  3 16  2 41 00 000   -2.050    4.820   -7.360   -332.90     13.90      9.90  26.130     38359.0
2015  3 16  2 42 00 000   -1.250    5.730   -6.290   -332.90     13.90      9.90  26.130     38359.0
2015  3 16  2 43 00 000   -2.460    4.280   -7.690   -332.40     14.70      9.30  25.550     36642.0
2015  3 16  2 44 00 000   -0.890    6.880   -5.960   -334.90     12.10      5.00  26.530     35526.0
2015  3 16  2 45 00 000   -0.800    6.630   -5.710   -340.50      6.70     -5.50  30.990     34842.0
2015  3 16  2 46 00 000   -2.930    3.790   -5.850   -341.40      5.90     -5.90  29.310     33868.0
2015  3 16  2 48 00 000   -3.490   -0.880   -4.290   -338.20      9.60     -3.00  37.210     45090.0
2015  3 16  2 49 00 000   -3.870   -0.190   -4.230   -338.20      9.60     -3.00  37.210     45090.0
2015  3 16  2 50 00 000   -3.530    0.330   -4.230   -338.90     10.00     -2.20  37.430     45445.0
2015  3 16  2 51 00 000   -3.450    0.000   -3.890   -339.00     10.00     -2.10  37.460     45487.0
2015  3 16  2 57 00 000   -2.340    3.530   -4.520   -335.00     14.10      0.40  37.240     44081.0
2015  3 16  2 58 00 000   -2.180    3.580   -4.470   -338.20     13.20     -0.50  36.770     41304.0
2015  3 16  2 59 00 000   -2.830    2.260   -4.440   -338.70     12.00     -1.50  36.330     41281.0
2015  3 16  3  0 00 000   -2.240    2.890   -4.220   -338.60     11.50     -1.70  35.350     40174.0
2015  3 16  3  5 00 000   -2.400    3.390   -5.720   -343.30     10.80     -0.80  35.190     37541.0
2015  3 16  3 18 00 000   -0.690    3.550   -4.700   -343.00      6.10     -3.70  39.160     33241.0
2015  3 16  3 22 00 000   -1.540    3.180   -3.880   -343.20      8.70     -7.10  41.170     27919.0
2015  3 16  3 23 00 000   -1.860    3.510   -3.050   -342.90      9.00     -6.70  40.550     29202.0
2015  3 16  3 24 00 000   -1.190    4.150   -3.980   -342.20      9.10     -5.80  38.410     31825.0
2015  3 16  3 25 00 000   -1.280    5.390   -4.510   -343.20     10.70    -10.20  33.640     33382.0
2015  3 16  3 26 00 000   -0.680    3.840   -2.860   -343.20     10.70    -10.20  33.640     33383.0
2015  3 16  3 27 00 000   -1.500    4.940   -4.150   -342.90     11.50     -6.70  32.370     36404.0
2015  3 16  3 28 00 000   -0.230    2.750   -0.860   -343.30     10.60     -6.10  33.810     38518.0
2015  3 16  3 29 00 000    2.500   -2.330    4.670   -343.70     10.30     -3.30  35.120     39741.0
2015  3 16  3 30 00 000    1.390   -1.560    2.480   -343.90     12.30     -2.50  33.550     38168.0
2015  3 16  3 31 00 000    2.160   -0.150    4.570   -343.00     15.00     -6.80  38.000     42640.0
2015  3 16  3 32 00 000    0.910   -2.190    1.740   -344.50     13.10     -3.70  36.510     38605.0
2015  3 16  3 33 00 000    2.420   -0.830    5.100   -344.90     12.50     -3.30  36.090     38268.0
2015  3 16  3 41 00 000    0.560    0.910   -0.120   -347.00     10.20     -3.40  35.380     35314.0
2015  3 16  3 42 00 000    2.810   -1.520    4.480   -347.00     10.20     -3.40  35.380     35314.0
2015  3 16  3 44 00 000    2.070   -0.860    2.720   -343.10      9.60     -8.30  34.720     32564.0
2015  3 16  3 45 00 000    1.940   -0.800    2.540   -343.10      9.60     -8.30  34.720     32564.0
2015  3 16  3 46 00 000    3.260   -1.910    4.480   -345.80     11.40     -4.20  36.310     38925.0
2015  3 16  3 47 00 000    3.110   -2.010    4.590   -346.00     11.50     -3.80  36.440     39464.0
2015  3 16  3 50 00 000    3.440   -2.920    4.150   -344.90     13.00     -2.90  35.270     36208.0
2015  3 16  3 51 00 000    3.300   -3.180    4.010   -344.40     12.80     -4.20  35.500     37503.0
2015  3 16  3 52 00 000    3.370   -3.410    3.930   -344.30     13.20     -4.50  35.140     38259.0
2015  3 16  3 53 00 000    3.110   -3.710    3.870   -344.40     14.70     -3.90  33.530     38927.0
2015  3 16  3 54 00 000    3.010   -2.890    4.190   -345.40     13.70     -3.90  33.530     37360.0
2015  3 16  3 55 00 000    2.990   -3.370    4.160   -346.30     13.70     -6.60  35.180     40267.0
2015  3 16  3 56 00 000    2.620   -3.960    4.500   -345.50     15.70     -6.10  33.900     45441.0
2015  3 16  3 57 00 000    3.810   -3.880    4.720   -346.70     14.60     -5.70  32.450     43942.0
2015  3 16  3 58 00 000    4.120   -3.830    4.620   -343.90     19.00     -4.00  32.470     42738.0
2015  3 16  3 59 00 000    3.730   -4.260    5.030   -344.10     17.50     -3.70  31.230     40871.0
2015  3 16  4  0 00 000    3.420   -4.360    5.340   -344.70     13.00     -3.20  28.030     36162.0
