# OMNI 1-min, GSM, time-shifted to bow shock nose
# yr mo dy hr mn sc msec  Bx[nT] By[nT] Bz[nT]  Vx[km/s] Vy[km/s] Vz[km/s]  N[/cc] T[K]
#START
2024  5 10 14 52 00 000   -2.440    1.040    0.280   -423.20     -4.70     -6.70   5.200    179634.0
2024  5 10 14 53 00 000   -2.110    0.670    1.070   -423.20     -4.70     -6.70   5.190    179390.0
2024  5 10 14 54 00 000   -2.170    0.860    0.890   -410.80     -1.30    -14.00   3.340    112742.0
2024  5 10 14 55 00 000   -1.980    0.600    1.070   -410.60     -1.20    -14.10   3.320    111553.0
2024  5 10 14 58 00 000   -1.730    0.140   -0.540   -438.80     12.10      6.60   5.870     87568.0
2024  5 10 14 59 00 000   -1.430   -1.200   -0.900   -448.80     14.30      4.40   8.420     95528.0
2024  5 10 15  0 00 000   -1.860   -0.320   -0.880   -440.60    -10.70     12.60   5.740    144211.0
2024  5 10 15  1 00 000   -1.380   -0.360   -0.800   -417.70      0.50     -1.50   3.760    122942.0
2024  5 10 15  2 00 000   -2.430    0.390   -0.490   -411.50      7.90     -7.50   3.500    110826.0
2024  5 10 15  3 00 000   -2.300    0.380   -1.590   -446.30      1.90     -4.20   4.930    136042.0
2024  5 10 15  4 00 000   -1.960    0.250   -0.930   -449.20      0.00     -7.00   6.310    130170.0
2024  5 10 15  5 00 000   -1.980    0.410   -1.190   -456.90     12.20     -3.30  12.310     63681.0
2024  5 10 15  6 00 000   -1.820    0.470   -2.220   -447.80     12.80      0.30   5.420    107827.0
2024  5 10 15  7 00 000   -2.150    0.440    0.420   -444.70      9.00     -8.00   5.110    129522.0
2024  5 10 15  8 00 000   -2.840    0.990   -0.210   -430.00      9.40    -16.40   4.040    107215.0
2024  5 10 15  9 00 000   -2.840    0.900   -0.250   -439.00     14.60     -3.90   5.090     96365.0
2024  5 10 15 10 00 000   -2.300    1.020   -0.350   -437.20      8.10    -11.40   6.820     97571.0
2024  5 10 15 11 00 000   -1.940    0.640    0.340   -440.60     13.80    -14.00   8.040    107028.0
2024  5 10 15 13 00 000   -1.480    0.700    0.480   -450.80      8.90      2.70  13.360     58554.0
2024  5 10 15 14 00 000   -2.650    0.240   -0.050   -444.90      8.50     -1.90   9.520    105807.0
2024  5 10 15 15 00 000   -2.340   -0.030   -0.390   -442.40      7.50     -7.20   7.940    108810.0
2024  5 10 15 16 00 000   -1.880    0.240   -1.390   -446.30      9.10     -8.50   8.420    112645.0
2024  5 10 15 17 00 000   -1.580   -0.020   -1.570   -451.50      9.50      1.60  10.800     68217.0
2024  5 10 15 18 00 000   -1.630    0.340   -0.480   -454.40      8.00     -4.70  11.480     70349.0
2024  5 10 15 19 00 000   -1.620    0.290   -0.630   -456.30     10.30     -3.70  13.720     54238.0
2024  5 10 15 20 00 000   -2.140    0.890   -1.190   -456.00     10.10     -1.20  12.300     64421.0
2024  5 10 15 21 00 000   -2.300    0.650   -0.640   -440.70      9.20     -3.20   6.910    170584.0
2024  5 10 15 22 00 000   -2.350   -0.020   -0.950   -448.00     13.90     -7.60   9.400    113753.0
2024  5 10 15 23 00 000   -2.160    0.050   -0.270   -448.10     18.20    -20.80   7.780    116911.0
2024  5 10 15 24 00 000   -2.620    0.450   -1.200   -457.30      7.00     15.40  13.920     49417.0
2024  5 10 15 25 00 000   -2.380   -0.130   -0.720   -456.20     10.10      9.60  11.630     57874.0
2024  5 10 15 26 00 000   -2.100    0.110    0.490   -454.70     13.60      1.50   8.890     68853.0
2024  5 10 15 27 00 000   -2.290   -0.270    0.200   -457.10      3.30    -13.70  13.470     65406.0
2024  5 10 15 28 00 000   -1.930   -0.210    0.620   -454.00     10.60      1.70  14.000     48592.0
2024  5 10 15 29 00 000   -2.180   -0.310    0.280   -453.50     11.80      4.20  14.090     45820.0
2024  5 10 15 31 00 000   -1.920   -0.730   -1.540   -455.50      6.00     -5.50  13.150     58657.0
2024  5 10 15 32 00 000   -1.750   -0.220   -0.680   -455.30      6.20     -5.10  12.920     59926.0
2024  5 10 15 33 00 000   -1.450    0.240    0.080   -455.30      6.60     -5.00  11.500     46553.0
2024  5 10 15 34 00 000   -1.670   -0.680   -1.170   -452.40     10.30      1.80  13.110     43609.0
2024  5 10 15 35 00 000   -1.500   -0.790   -1.080   -456.70      5.30     -7.70  12.830     48378.0
2024  5 10 15 36 00 000   -1.070    1.140    1.930   -453.70     11.40     -1.80  14.300     50636.0
2024  5 10 15 37 00 000   -1.250    0.830    2.440   -451.60     18.00      3.10  14.900     50775.0
2024  5 10 15 44 00 000   -1.330    1.240    1.950   -452.30     16.20      2.50  15.030     47432.0
2024  5 10 15 45 00 000   -1.320    1.310    1.810   -452.30     16.20      2.50  15.030     47432.0
2024  5 10 15 48 00 000   -1.070    0.750    1.920   -448.40     17.60      3.70  15.000     49344.0
2024  5 10 15 49 00 000   -1.680    0.940    1.920   -448.80     16.10      4.20  14.980     48192.0
2024  5 10 15 50 00 000   -1.100    1.210    1.810   -448.70     12.90      5.30  13.860     45594.0
2024  5 10 15 51 00 000   -1.230    0.920    2.320   -448.70     16.00      3.20  14.810     50399.0
2024  5 10 15 52 00 000   -1.010    1.040    2.150   -448.60     17.40      2.40  15.110     51797.0
2024  5 10 15 56 00 000   -0.960    0.850    1.650   -453.50     21.40     -6.50  15.360     38971.0
2024  5 10 15 57 00 000   -1.080    0.600    1.830   -453.50     21.40     -6.50  15.360     38971.0
2024  5 10 15 58 00 000   -1.150    0.260    1.580   -449.70      9.50      7.10  15.150     45319.0
2024  5 10 15 59 00 000   -0.220   -0.080    2.260   -449.40      9.60      8.00  15.190     46125.0
2024  5 10 16  0 00 000   -0.960    0.830    1.710   -448.50     18.60      8.60  15.780     50916.0
2024  5 10 16  1 00 000   -1.010    0.310    1.540   -448.50     18.60      8.60  15.780     50916.0
2024  5 10 16  2 00 000   -1.300    0.600    1.930   -446.80     21.50      4.90  15.830     48941.0
2024  5 10 16  3 00 000   -0.850    0.820    1.810   -449.10     18.50      3.40  15.510     48062.0
2024  5 10 16  4 00 000   -1.340    0.470    1.350   -449.70     13.40      5.30  14.830     46172.0
2024  5 10 16  5 00 000   -1.130    0.950    1.710   -449.90     11.40      5.30  14.970     45337.0
2024  5 10 16  6 00 000   -1.390    0.670    1.360   -449.30     11.90      3.70  14.950     46433.0
